Date,Open,High,Low,Close,Volume
8/13/2021,536.36,541.21,534.51,540.74,"541,187"
8/12/2021,532.29,538.14,530.23,536.92,"521,221"
8/11/2021,529.39,533.04,526.62,532.23,"765,098"
8/10/2021,538.23,539.99,528.71,530.13,"855,955"
8/9/2021,534.17,537.24,531.87,535.23,"733,126"
8/6/2021,534.81,537.88,530.01,534.29,"1,040,249"
8/5/2021,536.74,540.63,534.54,538.01,"896,958"
8/4/2021,530.83,537.17,528.44,536.06,"709,090"
8/3/2021,528.89,532.11,524.26,530.18,"870,968"
8/2/2021,532.11,534.77,525.37,527.51,"857,455"
7/30/2021,525.2,530.86,525.02,529.97,"905,258"
7/29/2021,521.21,529.44,521.21,525.51,"627,457"
7/28/2021,524.59,527.23,520.93,523.1,"694,711"
7/27/2021,528.02,530.52,516.44,522.91,"983,295"
7/26/2021,528.15,530.23,523.13,529.31,"720,516"
7/23/2021,524.92,532.33,522.02,528.43,"974,481"
7/22/2021,516.11,522.09,514.1,521.31,"917,690"
7/21/2021,506.71,514.59,503.08,514.45,"1,118,901"
7/20/2021,500.06,512.67,499.01,508.56,"1,273,340"
7/19/2021,498.84,502.48,496,498.78,"1,320,265"
7/16/2021,504.64,505,500.85,501.51,"727,878"
7/15/2021,505.97,506.38,500.38,503.17,"1,101,414"
7/14/2021,509.46,511.69,504.59,505.56,"1,453,635"
7/13/2021,504.9,509.97,503.63,506.69,"1,002,925"
7/12/2021,506.75,507.7,503,505.1,"922,293"
7/9/2021,502.95,505.59,495.74,503.93,"1,269,391"
7/8/2021,501.25,506.89,497.08,506.09,"989,486"
7/7/2021,505.53,508.63,503.12,506.09,"928,985"
7/6/2021,501.86,502.69,498.23,500.97,"1,181,275"
7/2/2021,494.86,500.83,494.59,497.64,"1,072,679"
7/1/2021,493.68,493.68,487.23,491.05,"905,571"
6/30/2021,490.63,492.6,487.47,490.17,"955,109"
6/29/2021,485.62,491.66,484.46,491.4,"718,400"
6/28/2021,486.86,491.39,485.64,486.99,"934,526"
6/25/2021,480.99,490.19,477,486.09,"1,494,488"
6/24/2021,482,486.25,480.3,482.62,"1,088,492"
6/23/2021,477.56,482.2,477.56,478.59,"1,218,772"
6/22/2021,477.31,479.74,475.12,477.56,"1,480,629"
6/21/2021,477.18,481.12,472,477.9,"1,073,572"
6/18/2021,477.08,478.49,472.34,473.4,"1,571,185"
6/17/2021,468.88,476.49,467.31,474.73,"1,442,703"
6/16/2021,469.2,473.72,464.72,469.34,"1,230,276"
6/15/2021,478.19,478.19,468.85,470.71,"1,359,586"
6/14/2021,472.33,476.99,469.87,476.97,"961,544"
6/11/2021,470.3,474.62,468.69,472.16,"1,471,072"
6/10/2021,467.32,473.71,466.24,471.33,"1,149,788"
6/9/2021,466.12,470.61,465.42,468.33,"919,811"
6/8/2021,461.16,466,458.82,465.26,"1,516,447"
6/7/2021,459.56,461.83,454.8,457.21,"868,104"
6/4/2021,454.98,463.62,454.01,461.93,"1,400,708"
6/3/2021,439.5,451.93,438,450.56,"1,490,108"
6/2/2021,438.06,447.08,436.01,445.44,"1,321,057"
6/1/2021,441.7,441.95,434.65,438.66,"948,038"
5/28/2021,435.5,442,433.82,439.09,"1,451,377"
5/27/2021,436.21,437.77,427.42,432.11,"2,974,437"
5/26/2021,440.92,445.66,437.59,442.81,"2,008,675"
5/25/2021,440.01,442.04,436.88,438.99,"1,469,669"
5/24/2021,439.2,442.71,438.07,440.41,"1,127,329"
5/21/2021,438.45,441.36,431.76,433.43,"1,172,815"
5/20/2021,423.37,436.99,423.37,435.27,"1,242,216"
5/19/2021,409.52,421.75,408.72,421.2,"1,321,164"
5/18/2021,421,424.64,417.07,417.43,"1,153,726"
5/17/2021,415.08,419.5,409.46,419.42,"1,286,192"
5/14/2021,406.86,418.55,403.54,417.26,"1,191,168"
5/13/2021,401.67,405.99,397,403.52,"1,402,236"
5/12/2021,393.68,402.24,391.09,399.89,"2,256,348"
5/11/2021,390.37,400.21,385.66,394.99,"932,627"
5/10/2021,400.23,401.51,392.29,392.54,"1,005,388"
5/7/2021,399.83,406.07,396.43,401.04,"965,536"
5/6/2021,390.81,394.51,386.15,394.07,"975,355"
5/5/2021,401.08,403.08,390.81,392.04,"989,847"
5/4/2021,409.15,409.15,395.88,397.62,"1,214,206"
5/3/2021,414.79,415.67,409,411.34,"771,805"
4/30/2021,413.35,418.08,411.62,412.16,"1,409,233"
4/29/2021,417.2,418.1,411.56,416.15,"636,715"
4/28/2021,415.27,417.46,411.4,415.8,"541,928"
4/27/2021,420,420.89,414,416.12,"619,454"
4/26/2021,414.44,418.68,410.9,418.29,"716,534"
4/23/2021,409.19,416.2,408.43,414.92,"981,471"
4/22/2021,407.42,411.51,404.23,406.78,"761,662"
4/21/2021,405.9,409.78,401.99,408.95,"857,403"
4/20/2021,401.06,406.93,399.24,405.37,"1,095,761"
4/19/2021,415.82,417,400.97,402.29,"1,130,950"
4/16/2021,419.18,420.18,414.27,415.82,"973,127"
4/15/2021,414.66,418.35,413.17,417.56,"914,788"
4/14/2021,422.77,422.77,410.44,411.29,"1,016,622"
4/13/2021,416.44,419.53,414.31,418.94,"1,550,319"
4/12/2021,415.53,417.13,412.49,415.93,"1,251,570"
4/9/2021,412.41,418.37,409.29,417.61,"1,003,513"
4/8/2021,403.54,412.48,402.9,411.32,"1,396,972"
4/7/2021,400.16,403.12,399.02,401.05,"713,723"
4/6/2021,399.59,405,396.85,401.2,"813,252"
4/5/2021,397.57,402.89,396.38,402.14,"1,473,625"
4/1/2021,388.92,397.41,388.49,395.23,"1,445,074"
3/31/2021,378.07,386,376.46,383.06,"1,512,850"
3/30/2021,371.08,376.12,368.74,373.66,"998,036"
3/29/2021,377.64,379.69,369.35,374.62,"1,631,190"
3/26/2021,369.16,377.05,367.94,376.58,"2,107,162"
3/25/2021,374.55,375.87,365.15,372.39,"1,510,716"
3/24/2021,384.32,386.19,376.73,377.29,"1,138,430"
3/23/2021,386.03,387.8,381.53,383.2,"1,154,533"
3/22/2021,381.81,386.06,380.07,383.02,"1,468,817"
3/19/2021,374.25,385.31,373.29,381.28,"4,423,179"
3/18/2021,384.07,385.63,373.46,373.97,"1,868,410"
3/17/2021,392.85,395.83,385.75,391.72,"1,765,860"
3/16/2021,400.51,401.89,392.49,395.42,"1,077,263"
3/15/2021,393.37,398,390.38,396.84,"1,408,188"
3/12/2021,394.21,396.63,387.38,395.95,"1,305,069"
3/11/2021,390.48,401.03,390.32,399.17,"1,445,331"
3/10/2021,394.57,394.57,382.25,382.82,"1,388,787"
3/9/2021,380.88,388.69,379.78,384.58,"1,770,707"
3/8/2021,381.54,388.11,369.8,370.42,"1,652,920"
3/5/2021,381.93,384,367.78,382.21,"1,588,277"
3/4/2021,388.42,392.08,373.57,376.33,"1,929,984"
3/3/2021,399.08,401.01,388.46,388.71,"1,369,851"
3/2/2021,406.49,406.52,398.67,401.75,"1,198,481"
3/1/2021,396.33,407.86,394.22,406.41,"1,545,057"
2/26/2021,390.46,396.61,385,390.14,"1,765,306"
2/25/2021,407.59,408.95,386.65,387.98,"2,148,129"
2/24/2021,388.29,415.43,382.8,413.18,"3,307,968"
2/23/2021,398.12,402.8,390.24,399.09,"2,483,052"
2/22/2021,408.16,408.84,401.24,401.55,"1,179,232"
2/19/2021,413.35,417.81,409.16,411.35,"1,287,942"
2/18/2021,414.38,420,408.43,415.39,"1,044,387"
2/17/2021,419.93,420.41,412.05,415.81,"1,164,767"
2/16/2021,417.54,423.74,417.27,422.26,"1,378,700"
2/12/2021,410,414.47,407.12,413.99,"1,066,862"
2/11/2021,400,409.3,396.59,408.82,"1,226,886"
2/10/2021,395.84,399.04,390.59,397.29,"1,150,353"
2/9/2021,385.85,392.86,384.64,391.55,"817,724"
2/8/2021,393.48,395.15,386.88,389.74,"898,646"
2/5/2021,392.54,396.47,387.72,389.38,"867,301"
2/4/2021,381.94,392.95,380,392.73,"1,522,077"
2/3/2021,382.68,383.68,377,380.15,"807,411"
2/2/2021,376.33,385.47,375.53,384.11,"1,123,618"
2/1/2021,365.49,378.45,364.59,373.58,"1,260,150"
1/29/2021,366.36,369.89,359.69,361.23,"1,523,587"
1/28/2021,366.35,376.67,365.71,369.95,"1,395,420"
1/27/2021,368.01,375,359.33,363.11,"1,928,234"
1/26/2021,374.03,376.14,370.28,374.8,"663,510"
1/25/2021,378.04,378.84,364.31,374.43,"1,588,202"
1/22/2021,384.4,384.4,374.64,374.85,"1,150,622"
1/21/2021,386.21,388.42,377.81,381.75,"1,736,759"
1/20/2021,391.67,398.12,388.98,389.46,"2,051,787"
1/19/2021,374.87,386.38,374.36,384.95,"1,578,492"
1/15/2021,364.88,373.84,363.03,371.01,"1,597,810"
1/14/2021,365.29,369.63,364.97,365.51,"1,146,186"
1/13/2021,364.97,367.33,360.5,364.96,"1,019,574"
1/12/2021,371.83,372.63,362.35,365.67,"1,242,518"
1/11/2021,376.13,376.76,366.38,372.34,"1,514,875"
1/8/2021,369.79,375.03,368.6,374.46,"1,259,108"
1/7/2021,363.24,370.23,360.33,368.63,"1,108,980"
1/6/2021,359.17,364.01,357.69,361,"1,537,625"
1/5/2021,370.44,374,367.31,368.87,"1,117,837"
1/4/2021,379.74,384.62,366.17,371.7,"1,839,788"
12/31/2020,375.02,380.48,374.95,379.85,"982,530"
12/30/2020,380.82,381.98,375.34,375.55,"703,191"
12/29/2020,383.2,384.82,377.32,378.33,"640,599"
12/28/2020,387.57,387.94,378.04,381.12,"871,854"
12/24/2020,377.51,381.79,377.43,381.16,"441,932"
12/23/2020,379.01,383.94,376.71,376.92,"900,939"
12/22/2020,376,380.14,373.58,379.97,"1,003,561"
12/21/2020,374.72,377.82,368.42,375.93,"997,633"
12/18/2020,377.16,380.8,375.53,380.11,"2,569,581"
12/17/2020,371.93,380.99,370.34,380.32,"1,965,911"
12/16/2020,361.31,370.36,360.03,369.26,"1,577,883"
12/15/2020,365.82,367.76,360.15,360.43,"1,655,060"
12/14/2020,364.44,369.31,363.61,365.51,"1,365,982"
12/11/2020,362.12,364.65,358,364.32,"1,193,790"
12/10/2020,361.23,364.4,357.45,362.5,"1,499,216"
12/9/2020,368.91,370.14,361.11,364.18,"2,477,788"
12/8/2020,372.4,380.5,370.53,372.59,"1,705,237"
12/7/2020,367.82,373.98,367.28,372.19,"1,910,082"
12/4/2020,365.15,371.94,364.07,368.6,"1,404,403"
12/3/2020,355.19,366.68,353.47,363.7,"1,841,131"
12/2/2020,355.66,356.15,350.06,355.49,"760,700"
12/1/2020,356.01,359.29,352.29,356.82,"1,088,895"
11/30/2020,353.45,356.44,348.13,352.02,"1,875,760"
11/27/2020,353.93,358.04,351.83,354.24,"528,296"
11/25/2020,345.72,352.47,345.01,350.47,"1,199,344"
11/24/2020,345,347.73,342.52,345.2,"1,045,463"
11/23/2020,348.07,350.32,337.72,343.33,"1,529,577"
11/20/2020,358.85,359.99,347.51,347.69,"2,370,232"
11/19/2020,353.2,363.39,349.05,361.44,"1,533,627"
11/18/2020,356.24,360.26,353.76,354.74,"912,410"
11/17/2020,354.98,360,353.43,358.75,"953,992"
11/16/2020,356.54,361.22,353.33,357.06,"1,158,831"
11/13/2020,351.84,358.33,350.43,356.95,"1,179,472"
11/12/2020,352.97,356.64,347.65,349.51,"947,726"
11/11/2020,345.65,356.55,342.93,352.4,"1,127,017"
11/10/2020,358.15,358.15,339.35,342.26,"1,544,160"
11/9/2020,365.95,377.15,359.31,360.14,"1,820,136"
11/6/2020,351.48,353.85,344.8,352.26,"623,054"
11/5/2020,350.92,352.01,346.21,350.96,"1,074,337"
11/4/2020,339.72,347.91,334.11,343,"1,344,677"
11/3/2020,319.91,326.94,317.83,324.73,"1,114,858"
11/2/2020,317.76,321.87,312.17,316.42,"1,109,863"
10/30/2020,321.91,325.17,312.05,314.68,"1,682,866"
10/29/2020,319.43,329.39,319.33,325.61,"896,800"
10/28/2020,323.47,325.1,317.96,318.51,"948,411"
10/27/2020,330.59,333.4,329.31,330.27,"838,744"
10/26/2020,330.91,332.1,323.44,328.09,"927,838"
10/23/2020,333.32,334.59,330,334.42,"721,966"
10/22/2020,332.94,333.91,325.31,331.82,"803,367"
10/21/2020,335.69,336.68,331.31,332.79,"816,816"
10/20/2020,338.35,338.97,333.45,334.51,"1,131,226"
10/19/2020,343.32,344.23,334.05,335.27,"822,798"
10/16/2020,343.78,346.82,340.95,341.15,"790,020"
10/15/2020,341.29,343.18,338,341.97,"790,047"
10/14/2020,351.49,351.49,341.23,345.3,"896,431"
10/13/2020,352.67,353.74,347.51,349.59,"1,118,898"
10/12/2020,345.18,353.98,342.21,350.93,"1,571,289"
10/9/2020,336.62,342.2,335.77,341.81,"846,808"
10/8/2020,336.36,337.76,333.26,334.99,"788,297"
10/7/2020,327.74,336.91,327.08,334.91,"1,236,112"
10/6/2020,331.31,333.87,323.91,325.38,"1,042,447"
10/5/2020,330.33,332,327.12,331.36,"1,296,524"
10/2/2020,326.16,329.48,319.91,321.89,"902,722"
10/1/2020,330.74,333.98,329.85,332.34,"1,091,541"
9/30/2020,323.02,329.14,319.67,326.21,"1,804,877"
9/29/2020,325.54,329.22,323.05,323.64,"1,122,510"
9/28/2020,325.43,326.13,322.26,325.55,"1,134,304"
9/25/2020,309.9,318.79,307.77,318.5,"1,239,803"
9/24/2020,304.67,312.63,301.94,308.59,"1,216,929"
9/23/2020,315.4,315.98,303.06,304.93,"1,412,131"
9/22/2020,309.81,318.12,306.7,317.28,"2,099,947"
9/21/2020,296.29,308.02,295.37,307.7,"1,594,620"
9/18/2020,307.7,312.95,296.77,300.13,"2,284,451"
9/17/2020,304.91,308.4,301.34,307.23,"1,795,549"
9/16/2020,324.86,326.23,312.61,313.38,"1,668,809"
9/15/2020,321.38,324.15,319.38,322.47,"1,111,618"
9/14/2020,320.17,321.25,315.77,318.31,"888,851"
9/11/2020,323.82,325.35,311.41,315,"955,183"
9/10/2020,329.58,332.66,317.07,320.39,"1,254,155"
9/9/2020,324.4,331.31,319.74,328.21,"1,303,238"
9/8/2020,320.79,329.36,319.65,320.82,"1,578,582"
9/4/2020,337.76,340.53,324.61,333.11,"1,219,458"
9/3/2020,353.11,353.11,336.66,339.63,"1,570,070"
9/2/2020,348.67,355.67,347.47,354.18,"1,438,039"
9/1/2020,344.92,349.33,343.56,347.18,"1,074,621"
8/31/2020,345.89,346.24,342.1,345.39,"1,070,807"
8/28/2020,346.73,347.38,343.84,346.11,"1,189,442"
8/27/2020,341.84,349.51,339.06,345,"1,880,870"
8/26/2020,356.86,360,338.07,342.34,"3,108,571"
8/25/2020,332.5,337.37,329.95,336.42,"1,718,389"
8/24/2020,325.27,334.15,324.63,333.12,"2,088,371"
8/21/2020,319.86,322.6,318.4,322.23,"1,174,791"
8/20/2020,310,320.66,309.94,320.06,"1,083,578"
8/19/2020,308.67,313.95,305.86,310.55,"991,195"
8/18/2020,310,311,306.58,308.9,"755,750"
8/17/2020,307.84,310.02,306.83,308.01,"714,919"
8/14/2020,307.55,308.74,304.82,305.54,"596,048"
8/13/2020,305.25,310.71,305.25,306.71,"760,839"
